observation_id,plant,outcome,3,4,5,6,7
1,Isar 1,temperature,-1.7430928029676536,-1.8261927649024108,-1.8317092031410953,-1.836406689723794,-1.8154233994486517
2,Neckarwestheim 1,oxygen,0.5381039915966337,0.3195311457916384,0.4259081620069224,0.4259081620069224,0.4259081620069224
2,Neckarwestheim 1,temperature,-0.5729506802721462,-0.5981237060041741,-0.5934421182266233,-0.5934421182266233,-0.5934421182266233
3,Philippsburg 1,oxygen,0.011208791208809854,0.04133779805918969,-0.01904822029820985,-0.01904822029820985,-0.01904822029820985
3,Philippsburg 1,temperature,-0.1570710312366015,-0.11569230769229227,-0.16969926075268826,-0.16969926075268826,-0.16969926075268826
4,Gundremmingen B,temperature,0.18127930003228787,0.1496004290817416,0.1017474602842891,0.10619223431363478,0.12196914664377623
5,Philippsburg 2,oxygen,-0.06640625000000105,-0.015552254349420064,0.026107024695742165,0.05226574500770037,0.05226574500770037
5,Philippsburg 2,temperature,-0.33043831168831794,-0.42375961254070993,-0.34565343378732283,-0.37718287314924304,-0.37718287314924304
6,Gundremmingen C,temperature,0.16397346663871798,0.17025434755604785,0.22388118642208715,0.24743492744129714,0.23987550410307268
7,Isar 2,temperature,0.07117689688879159,0.14993637546700378,0.14765683974961719,0.17507808162666905,0.19413788620186645
8,Neckarwestheim 2,oxygen,-0.4174603174603235,-0.13431637806637692,-0.02010836385836956,-0.02010836385836956,-0.02010836385836956
8,Neckarwestheim 2,temperature,0.21579648526073814,0.11207010582009258,0.010910894660886905,0.010910894660886905,0.010910894660886905
